year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,SUR,195575.0,,0.0,0.0,0.213,,,0.813,,,4.159,,,1.087,,,0.004,0.019,,,,0.0,0.213,0.813,0.004,,,38.636,0.209,,,,,,,,1.427,5.018,0.601,3.072,0.25,1.28,0.044,0.225,0.209,1.068,,,,0.0,0.004,0.007,0.0,0.0,0.0,0.0,0.0,,,0.009,0.001,,,,0.01,0.013,,0.005,0.0,0.0,0.0,0.0,0.981,0.279,,
1951,SUR,200519.0,,0.0,0.0,0.234,0.022,10.345,0.831,0.017,2.14,4.143,,,1.169,,,0.004,0.018,,,,0.0,0.447,1.644,0.007,,,39.232,0.44,,,,,,,,1.521,5.067,0.596,2.973,0.26,1.298,0.045,0.226,0.231,1.151,,,,0.0,0.004,0.006,0.0,0.0,0.0,0.0,0.0,,,0.009,0.001,,,,0.009,0.013,,0.005,0.0,0.0,0.0,0.0,1.016,0.305,,
1952,SUR,206362.0,,0.0,0.0,0.267,0.033,14.062,0.85,0.02,2.373,4.121,,,1.296,,,0.007,0.036,,,,0.0,0.714,2.495,0.015,,,39.815,0.7,,,,,,,,1.662,5.118,0.583,2.825,0.27,1.311,0.047,0.229,0.26,1.261,,,,0.0,0.004,0.007,0.0,0.0,0.0,0.0,0.0,,,0.009,0.002,,,,0.009,0.014,,0.006,0.0,0.0,0.0,0.0,1.056,0.343,,
1953,SUR,212373.0,,0.0,0.0,0.311,0.044,16.438,0.877,0.027,3.136,4.13,,,1.466,,,0.0,0.0,,,,0.0,1.026,3.372,0.015,,,40.381,1.011,,,,,,,,1.835,5.192,0.566,2.664,0.278,1.31,0.049,0.233,0.311,1.466,,,,0.0,0.005,0.007,0.0,0.0,0.0,0.0,0.0,,,0.009,0.003,,,,0.009,0.016,,0.006,0.0,0.0,0.0,0.0,1.103,0.39,,
1954,SUR,218640.0,,0.0,0.0,0.337,0.026,8.235,0.89,0.013,1.512,4.072,,,1.542,,,0.011,0.05,,,,0.0,1.363,4.262,0.026,,,40.934,1.337,,,,,,,,1.931,5.224,0.553,2.531,0.29,1.326,0.052,0.238,0.326,1.491,,,,0.0,0.005,0.006,0.0,0.0,0.001,0.001,0.0,,,0.009,0.004,,,,0.008,0.016,,0.006,0.0,0.0,0.0,0.0,1.142,0.422,,
1955,SUR,225202.0,,0.0,0.0,0.311,-0.026,-7.609,0.952,0.062,6.93,4.228,,,1.383,,,0.004,0.016,,,,0.0,1.674,5.214,0.029,,,41.574,1.645,,,,,,,,1.77,5.121,0.641,2.845,0.297,1.319,0.055,0.243,0.308,1.367,,,,0.0,0.004,0.007,0.0,0.0,0.001,0.001,0.0,,,0.009,0.004,,,,0.009,0.013,,0.006,0.0,0.0,0.0,0.0,1.153,0.399,,
1956,SUR,232154.0,,0.0,0.0,0.341,0.029,9.412,0.902,-0.051,-5.311,3.883,,,1.468,,,0.0,0.0,,,,0.0,2.015,6.116,0.029,,,42.135,1.986,,,,,,,,1.861,5.088,0.561,2.416,0.307,1.32,0.058,0.248,0.341,1.468,,,,0.0,0.004,0.006,0.0,0.0,0.001,0.001,0.0,,,0.009,0.005,,,,0.008,0.014,,0.006,0.0,0.0,0.0,0.0,1.181,0.432,,
1957,SUR,239488.0,,0.0,0.0,0.374,0.033,9.677,0.905,0.004,0.415,3.78,,,1.561,,,0.0,0.0,,,,0.0,2.389,7.021,0.029,,,42.667,2.36,,,,,,,,1.964,5.083,0.532,2.219,0.317,1.326,0.06,0.252,0.374,1.561,,,,0.0,0.005,0.006,0.0,0.0,0.001,0.001,0.0,,,0.009,0.006,,,,0.007,0.014,,0.006,0.0,0.0,0.0,0.0,1.217,0.47,,
1958,SUR,247246.0,,0.0,0.0,0.319,-0.055,-14.706,0.799,-0.106,-11.721,3.232,,,1.289,,,0.0,0.0,,,,0.0,2.708,7.82,0.029,,,43.147,2.678,,,,,,,,1.696,4.685,0.48,1.943,0.327,1.323,0.063,0.254,0.319,1.289,,,,0.0,0.004,0.005,0.0,0.0,0.001,0.001,0.0,,,0.009,0.006,,,,0.007,0.012,,0.006,0.0,0.0,0.0,0.0,1.158,0.419,,
1959,SUR,255394.0,,0.0,0.0,0.366,0.048,14.943,0.777,-0.023,-2.824,3.041,,,1.435,,,0.0,0.0,,,,0.0,3.074,8.597,0.029,,,43.557,3.045,,,,,,,,1.852,4.72,0.41,1.606,0.339,1.328,0.065,0.254,0.366,1.435,,,,0.0,0.004,0.005,0.0,0.0,0.001,0.001,0.0,,,0.009,0.006,,,,0.005,0.013,,0.006,0.0,0.0,0.0,0.0,1.205,0.473,,
