year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1931,SYR,2694373.0,,0.004,0.001,0.004,,,11.249,,,4.175,,,0.001,,,,,,,,0.004,0.004,11.249,,,,81.285,,,,,,,,,0.159,2.366,11.245,4.173,0.832,0.309,0.299,0.111,,,,,,0.012,0.0,0.129,,0.002,0.0,0.002,,,,0.026,,,,,0.217,,,0.022,0.0,0.0,0.0,0.0,6.374,0.428,,
1932,SYR,2732440.0,,0.011,0.004,0.011,0.007,200.028,13.658,2.41,21.423,4.999,,,0.004,,,,,,,,0.015,0.015,24.907,,,,94.933,,,,,,,,,0.16,2.712,13.647,4.995,0.855,0.313,0.31,0.114,,,,,,0.044,0.0,0.162,,0.007,0.0,0.005,,,,0.029,,,,,0.261,,,0.023,0.0,0.0,0.0,0.0,7.41,0.438,,
1933,SYR,2771046.0,,0.015,0.005,0.015,0.004,33.33,15.196,1.538,11.258,5.484,,,0.005,,,,,,,,0.029,0.029,40.103,,,,110.114,,,,,,,,,0.16,2.915,15.181,5.479,0.876,0.316,0.323,0.117,,,,,,0.061,0.0,0.175,,0.012,0.0,0.008,,,,0.034,,,,,0.287,,,0.023,0.0,0.0,0.0,0.0,8.078,0.444,,
1934,SYR,2810197.0,,0.011,0.004,0.011,-0.004,-24.998,16.243,1.047,6.887,5.78,,,0.004,,,,,,,,0.04,0.04,56.345,,,,126.346,,,,,,,,,0.157,3.059,16.232,5.776,0.894,0.318,0.338,0.12,,,,,,0.038,0.0,0.181,,0.015,0.0,0.012,,,,0.038,,,,,0.304,,,0.024,0.0,0.0,0.0,0.0,8.597,0.441,,
1935,SYR,2849902.0,,0.015,0.005,0.015,0.004,33.33,17.012,0.77,4.738,5.969,,,0.005,,,,,,,,0.055,0.055,73.358,,,,143.343,,,,,,,,,0.156,3.175,16.998,5.964,0.911,0.32,0.353,0.124,,,,,,0.045,0.0,0.187,,0.018,0.0,0.015,,,,0.042,,,,,0.323,,,0.025,0.0,0.0,0.0,0.0,9.047,0.446,,
1936,SYR,2890167.0,,0.029,0.01,0.029,0.015,100.0,17.617,0.605,3.554,6.095,,,0.01,,,,,,,,0.084,0.084,90.974,,,,160.931,,,,,,,,,0.159,3.284,17.588,6.085,0.931,0.322,0.369,0.128,,,,,,0.075,0.001,0.185,,0.025,0.0,0.018,,,,0.047,,,,,0.332,,,0.025,0.0,0.0,0.0,0.0,9.493,0.459,,
1937,SYR,2931001.0,,0.062,0.021,0.062,0.033,112.503,18.124,0.507,2.881,6.184,,,0.021,,,,,,,,0.145,0.145,109.098,,,,178.993,,,,,,,,,0.167,3.382,18.062,6.163,0.949,0.324,0.385,0.131,,,,,,0.151,0.001,0.184,,0.039,0.0,0.021,,,,0.051,,,,,0.336,,,0.026,0.0,0.0,0.0,0.0,9.912,0.489,,
1938,SYR,2972412.0,,0.062,0.021,0.062,0.0,0.0,18.518,0.394,2.175,6.23,,,0.021,,,,,,,,0.207,0.207,127.617,,,,197.45,,,,,,,,,0.163,3.446,18.457,6.209,0.965,0.325,0.401,0.135,,,,,,0.16,0.001,0.192,,0.05,0.0,0.024,,,,0.056,,,,,0.341,,,0.027,0.0,0.0,0.0,0.0,10.244,0.484,,
1939,SYR,3014408.0,,0.058,0.019,0.058,-0.004,-5.882,18.849,0.331,1.787,6.253,,,0.019,,,,,,,,0.265,0.265,146.466,,,,216.241,,,,,,,,,0.157,3.506,18.791,6.234,0.98,0.325,0.417,0.138,,,,,,0.163,0.001,0.192,,0.059,0.0,0.028,,,,0.06,,,,,0.351,,,0.028,0.0,0.0,0.0,0.0,10.568,0.473,,
1940,SYR,3056998.0,,0.022,0.007,0.022,-0.036,-62.5,14.793,-4.056,-21.519,4.839,,,0.007,,,,,,,,0.287,0.287,161.259,,,,231.012,,,,,,,,,0.149,3.008,14.771,4.832,1.023,0.335,0.432,0.141,,,,,,0.069,0.0,0.143,,0.06,0.0,0.03,,,,0.063,,,,,0.271,,,0.028,0.0,0.0,0.0,0.0,9.196,0.456,,
