year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1990,TUV,8821.0,,0.0,0.0,0.004,,,0.004,,,0.415,,,0.415,,,,,,,,0.0,0.004,0.004,,,,0.0,0.004,,0.0,,,,,,0.653,1.278,0.0,0.0,0.007,0.75,0.001,0.113,0.004,0.415,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.011,0.006,,
1991,TUV,8952.0,,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.0,0.409,,,0.409,,,,,,,,0.0,0.007,0.007,,,,0.0,0.007,,0.0,,,,,,0.647,1.351,0.0,0.0,0.007,0.817,0.001,0.124,0.004,0.409,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.012,0.006,,
1992,TUV,9060.0,,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.0,0.404,,,0.404,,,,,,,,0.0,0.011,0.011,,,,0.0,0.011,,0.0,,,,,,0.641,1.344,0.0,0.0,0.007,0.814,0.001,0.126,0.004,0.404,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.012,0.006,,
1993,TUV,9146.0,,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.0,0.401,,,0.401,,,,,,,,0.0,0.015,0.015,,,,0.0,0.015,,0.0,,,,,,0.636,1.311,0.0,0.0,0.007,0.789,0.001,0.121,0.004,0.401,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.012,0.006,,
1994,TUV,9231.0,,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.0,0.397,,,0.397,,,,,,,,0.0,0.018,0.018,,0.0,,0.0,0.018,,0.0,,0.0,0.0,,,0.631,1.309,0.0,0.0,0.007,0.792,0.001,0.12,0.004,0.397,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.012,0.006,,
1995,TUV,9299.0,,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.0,0.394,,,0.394,,,,,,,,0.0,0.022,0.022,,0.0,,0.0,0.022,,0.0,,0.0,0.0,,,0.627,1.3,0.0,0.0,0.007,0.787,0.001,0.119,0.004,0.394,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.012,0.006,,
1996,TUV,9363.0,,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.0,0.391,,,0.391,,,,,,,,0.0,0.026,0.026,,0.0,,0.0,0.026,,0.0,,0.0,0.0,,,0.624,1.295,0.0,0.0,0.007,0.782,0.001,0.121,0.004,0.391,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.012,0.006,,
1997,TUV,9423.0,,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.0,0.389,,,0.389,,,,,,,,0.0,0.029,0.029,,0.0,,0.0,0.029,,0.0,,0.0,0.0,,,0.621,1.297,0.0,0.0,0.007,0.787,0.001,0.121,0.004,0.389,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.012,0.006,,
1998,TUV,9465.0,,0.0,0.0,0.011,0.007,200.0,0.011,0.007,200.0,1.161,,,1.161,,,,,,,,0.0,0.04,0.04,,0.0,,0.0,0.04,,0.0,,0.0,0.0,,,1.393,2.066,0.0,0.0,0.007,0.784,0.001,0.12,0.011,1.161,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.013,,
1999,TUV,9518.0,,0.0,0.0,0.011,0.0,0.0,0.011,0.0,0.0,1.155,,,1.155,,,,,,,,0.0,0.051,0.051,,0.0,,0.0,0.051,,0.0,,0.0,0.0,,,1.387,2.07,0.0,0.0,0.008,0.79,0.001,0.125,0.011,1.155,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.013,,
2000,TUV,9566.0,,0.0,0.0,0.007,-0.004,-33.333,0.007,-0.004,-33.333,0.766,,,0.766,,,,,,,,0.0,0.059,0.059,,0.0,,0.0,0.059,,0.0,,0.0,0.0,,,0.999,1.679,0.0,0.0,0.008,0.788,0.001,0.125,0.007,0.766,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.016,0.01,,
2001,TUV,9608.0,,0.0,0.0,0.011,0.004,50.0,0.011,0.004,50.0,1.144,,,1.144,,,,,,,,0.0,0.07,0.07,,0.0,,0.0,0.07,,0.0,,0.0,0.0,,,1.378,2.055,0.0,0.0,0.008,0.787,0.001,0.124,0.011,1.144,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.013,,
2002,TUV,9645.0,,0.0,0.0,0.011,0.0,0.0,0.011,0.0,0.0,1.14,,,1.14,,,,,,,,0.0,0.081,0.081,,0.0,,0.0,0.081,,0.0,,0.0,0.0,,,1.375,2.069,0.0,0.0,0.008,0.799,0.001,0.13,0.011,1.14,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.013,,
2003,TUV,9715.0,,0.0,0.0,0.011,0.0,0.0,0.011,0.0,0.0,1.131,,,1.131,,,,,,,,0.0,0.092,0.092,,0.0,,0.0,0.092,,0.0,,0.0,0.0,,,1.369,2.058,0.0,0.0,0.008,0.797,0.001,0.129,0.011,1.131,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.013,,
2004,TUV,9839.0,,0.0,0.0,0.011,0.0,0.0,0.011,0.0,0.0,1.117,,,1.117,,,,,,,,0.0,0.103,0.103,,0.0,,0.0,0.103,,0.0,,0.0,0.0,,,1.356,2.039,0.0,0.0,0.008,0.791,0.001,0.131,0.011,1.117,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.013,,
2005,TUV,9964.0,,0.0,0.0,0.011,0.0,0.0,0.011,0.0,0.0,1.103,,,1.103,,,,,,,,0.0,0.114,0.114,,0.0,,0.0,0.114,,0.0,,0.0,0.0,,,1.343,2.015,0.0,0.0,0.008,0.785,0.001,0.126,0.011,1.103,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.013,,
2006,TUV,10078.0,,0.0,0.0,0.011,0.0,0.0,0.011,0.0,0.0,1.091,,,1.091,,,,,,,,0.0,0.125,0.125,,0.0,,0.0,0.125,,0.0,,0.0,0.0,,,1.332,1.995,0.0,0.0,0.008,0.78,0.001,0.125,0.011,1.091,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.013,,
2007,TUV,10204.0,,0.0,0.0,0.011,0.0,0.0,0.011,0.0,0.0,1.077,,,1.077,,,,,,,,0.0,0.136,0.136,,0.0,,0.0,0.136,,0.0,,0.0,0.0,,,1.318,1.978,0.0,0.0,0.008,0.777,0.001,0.124,0.011,1.077,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.013,,
