year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1962,VUT,68188.0,,0.0,0.0,0.04,,,0.665,,,9.748,,,0.591,,,0.011,0.161,,,,0.0,0.04,0.665,0.011,,,88.806,0.029,,,,,,,,0.86,9.773,0.624,9.157,0.112,1.636,0.032,0.475,0.029,0.43,,,,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,,,0.018,0.0,,,,0.01,0.001,,0.005,0.0,0.0,0.0,0.0,0.666,0.059,,
1963,VUT,70172.0,,0.0,0.0,0.033,-0.007,-18.182,0.519,-0.146,-21.933,7.395,,,0.47,,,0.007,0.094,,,,0.0,0.073,1.184,0.018,,,89.292,0.056,,,,,,,,0.743,9.154,0.486,6.925,0.127,1.803,0.037,0.527,0.026,0.376,,,,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,,,0.017,0.0,,,,0.008,0.001,,0.004,0.0,0.0,0.0,0.0,0.642,0.052,,
1964,VUT,72233.0,,0.0,0.0,0.062,0.029,88.889,4.356,3.838,739.504,60.311,,,0.862,,,0.031,0.431,,,,0.0,0.136,5.54,0.049,,,93.586,0.087,,,,,,,,1.139,27.401,4.294,59.449,0.134,1.849,0.04,0.552,0.031,0.431,,,,0.0,0.001,0.026,0.001,0.0,0.0,0.001,0.0,,,0.018,0.0,,,,0.073,0.001,,0.005,0.0,0.0,0.0,0.0,1.979,0.082,,
1965,VUT,74375.0,,0.0,0.0,0.048,-0.015,-23.529,1.686,-2.67,-61.292,22.673,,,0.64,,,0.015,0.197,,,,0.0,0.183,7.226,0.063,,,95.225,0.12,,,,,,,,0.921,14.436,1.639,22.033,0.142,1.911,0.043,0.574,0.033,0.443,,,,0.0,0.0,0.01,0.0,0.0,0.0,0.001,0.0,,,0.018,0.0,,,,0.029,0.001,,0.005,0.0,0.0,0.0,0.0,1.074,0.068,,
1966,VUT,76604.0,,0.0,0.0,0.077,0.029,61.538,1.099,-0.588,-34.843,14.343,,,1.004,,,0.04,0.526,,,,0.0,0.26,8.325,0.104,,,96.247,0.156,,,,,,,,1.288,12.001,1.022,13.339,0.154,2.013,0.047,0.611,0.037,0.478,,,,0.0,0.001,0.006,0.001,0.0,0.0,0.001,0.0,,,0.018,0.0,,,,0.02,0.001,,0.005,0.0,0.0,0.0,0.0,0.919,0.099,,
1967,VUT,78935.0,,0.0,0.0,0.084,0.007,9.524,0.814,-0.284,-25.89,10.316,,,1.068,,,0.044,0.557,,,,0.0,0.344,9.139,0.148,,,96.977,0.197,,,,,,,,1.354,10.951,0.73,9.248,0.163,2.059,0.05,0.628,0.04,0.511,,,,0.0,0.001,0.005,0.001,0.0,0.0,0.001,0.0,,,0.018,0.0,,,,0.014,0.001,,0.004,0.0,0.0,0.0,0.0,0.864,0.107,,
1968,VUT,81333.0,,0.0,0.0,0.062,-0.022,-26.087,0.646,-0.169,-20.725,7.937,,,0.766,,,0.007,0.09,,,,0.0,0.407,9.785,0.155,,,97.56,0.252,,,,,,,,1.055,9.922,0.583,7.171,0.173,2.127,0.053,0.652,0.055,0.676,,,,0.0,0.0,0.004,0.0,0.0,0.0,0.001,0.0,,,0.018,0.0,,,,0.011,0.001,,0.004,0.0,0.0,0.0,0.0,0.807,0.086,,
1969,VUT,83769.0,,0.0,0.0,0.044,-0.018,-29.412,3.794,3.148,487.717,45.289,,,0.525,,,0.0,0.0,,,,0.0,0.451,13.579,0.155,,,101.31,0.296,,,,,,,,0.816,22.337,3.75,44.765,0.182,2.17,0.056,0.667,0.044,0.525,,,,0.0,0.0,0.019,0.0,0.0,0.0,0.001,0.0,,,0.019,0.0,,,,0.064,0.001,,0.004,0.0,0.0,0.0,0.0,1.871,0.068,,
1970,VUT,86283.0,,0.0,0.0,0.04,-0.004,-8.333,1.682,-2.112,-55.657,19.497,,,0.467,,,0.0,0.0,,,,0.0,0.491,15.261,0.155,,,102.952,0.336,,,,,,,,0.756,13.332,1.642,19.03,0.186,2.157,0.057,0.657,0.04,0.467,,,,0.0,0.0,0.008,0.0,0.0,0.0,0.002,0.0,,,0.019,0.0,,,,0.029,0.001,,0.004,0.0,0.0,0.0,0.0,1.15,0.065,,
1971,VUT,88880.0,,0.0,0.0,0.059,0.018,45.455,1.081,-0.601,-35.741,12.163,,,0.66,,,0.0,0.0,,,,0.0,0.55,16.342,0.155,,,103.974,0.395,,,,,,,,0.958,11.081,1.022,11.503,0.204,2.293,0.063,0.706,0.059,0.66,,,,0.0,0.0,0.005,0.0,0.0,0.0,0.002,0.0,,,0.019,0.0,,,,0.02,0.001,,0.004,0.0,0.0,0.0,0.0,0.985,0.085,,
1972,VUT,91578.0,,0.0,0.0,0.062,0.004,6.25,0.916,-0.165,-15.279,10.001,,,0.68,,,0.0,0.0,,,,0.0,0.612,17.258,0.155,,,104.828,0.457,,,,,,,,0.982,10.058,0.854,9.321,0.206,2.251,0.063,0.692,0.062,0.68,,,,0.0,0.0,0.004,0.0,0.0,0.0,0.002,0.0,,,0.019,0.0,,,,0.016,0.001,,0.004,0.0,0.0,0.0,0.0,0.921,0.09,,
1973,VUT,94379.0,,0.0,0.0,0.055,-0.007,-11.765,0.875,-0.041,-4.501,9.267,,,0.582,,,,,,,,0.0,0.667,18.133,,,,105.647,0.512,,,,,,,,0.887,9.661,0.82,8.685,0.227,2.4,0.071,0.75,0.055,0.582,,,,0.0,0.0,0.004,,0.0,0.0,0.002,,,,0.019,0.0,,,,0.016,0.001,,0.004,0.0,0.0,0.0,0.0,0.912,0.084,,
1974,VUT,97273.0,,0.0,0.0,0.062,0.007,13.333,3.589,2.715,310.372,36.899,,,0.64,,,,,,,,0.0,0.729,21.722,,,,109.174,0.574,,,,,,,,0.95,18.932,3.527,36.258,0.237,2.436,0.074,0.765,0.062,0.64,,,,0.0,0.0,0.016,,0.0,0.0,0.002,,,,0.019,0.0,,,,0.069,0.001,,0.004,0.0,0.0,0.0,0.0,1.842,0.092,,
1975,VUT,100288.0,,0.0,0.0,0.055,-0.007,-11.765,1.512,-2.077,-57.879,15.075,,,0.548,,,,,,,,0.0,0.784,23.234,,,,110.631,0.629,,,,,,,,0.858,11.689,1.457,14.527,0.247,2.466,0.078,0.776,0.055,0.548,,,,0.0,0.0,0.007,,0.0,0.0,0.002,,,,0.019,0.0,,,,0.029,0.001,,0.004,0.0,0.0,0.0,0.0,1.172,0.086,,
1976,VUT,103401.0,,0.0,0.0,0.044,-0.011,-20.0,1.393,-0.119,-7.867,13.471,,,0.425,,,,,,,,0.0,0.828,24.627,,,,111.98,0.673,,,,,,,,0.736,11.002,1.349,13.046,0.258,2.495,0.081,0.786,0.044,0.425,,,,0.0,0.0,0.006,,0.0,0.0,0.002,,,,0.019,0.0,,,,0.027,0.001,,0.004,0.0,0.0,0.0,0.0,1.138,0.076,,
1977,VUT,106634.0,,0.0,0.0,0.051,0.007,16.667,1.05,-0.343,-24.608,9.848,,,0.481,,,,,,,,0.0,0.879,25.677,,,,112.979,0.724,,,,,,,,0.797,9.182,0.999,9.367,0.25,2.341,0.079,0.737,0.051,0.481,,,,0.0,0.0,0.004,,0.0,0.0,0.002,,,,0.019,0.0,,,,0.018,0.001,,0.004,0.0,0.0,0.0,0.0,0.979,0.085,,
1978,VUT,109980.0,,0.0,0.0,0.059,0.007,14.286,1.239,0.188,17.937,11.261,,,0.533,,,,,,,,0.0,0.938,26.915,,,,114.159,0.783,,,,,,,,0.848,9.303,1.18,10.728,0.243,2.208,0.075,0.684,0.059,0.533,,,,0.0,0.0,0.005,,0.0,0.0,0.002,,,,0.019,0.0,,,,0.022,0.001,,0.004,0.0,0.0,0.0,0.0,1.023,0.093,,
1979,VUT,113061.0,,0.0,0.0,0.062,0.004,6.25,0.73,-0.509,-41.077,6.455,,,0.551,,,,,,,,0.0,1.0,27.645,,,,114.826,0.845,,,,,,,,0.869,7.394,0.667,5.904,0.238,2.102,0.073,0.646,0.062,0.551,,,,0.0,0.0,0.003,,0.0,0.0,0.002,,,,0.019,0.0,,,,0.014,0.001,,0.004,0.0,0.0,0.0,0.0,0.836,0.098,,
1980,VUT,115683.0,,0.0,0.0,0.062,0.0,0.0,1.602,0.872,119.481,13.845,,3.084,0.538,,0.12,,,,,,0.0,1.063,29.247,,,,116.366,0.908,,4395.306,,,,,,0.86,10.168,1.539,13.307,0.236,2.044,0.072,0.622,0.062,0.538,,,0.519,0.0,0.0,0.007,,0.0,0.0,0.002,,,,0.019,0.0,,,,0.031,0.001,,0.004,0.0,0.0,0.0,0.0,1.176,0.1,,
1981,VUT,118267.0,,0.0,0.0,0.051,-0.011,-17.647,1.375,-0.227,-14.167,11.624,,3.033,0.434,,0.113,,,,,,0.0,1.114,30.622,,,,117.689,0.959,,3748.843,,,,,,0.756,9.17,1.323,11.191,0.237,2.007,0.071,0.604,0.051,0.434,,,0.453,0.0,0.0,0.006,,0.0,0.0,0.003,,,,0.019,0.001,,,,0.027,0.001,,0.004,0.0,0.0,0.0,0.0,1.084,0.089,,
