,Year,ARIMA_log_CO2,Hybrid_log_CO2,ARIMA_CO2,Hybrid_CO2,ARIMA_pct_change,ARIMA_pct_change_from_last_historical,Hybrid_pct_change,Hybrid_pct_change_from_last_historical
174,2024,8.507459926483481,8.50434144685909,4950.5697499055605,4935.152432321445,,0.7977118886596656,,0.48380249752963433
175,2025,8.495786088019447,8.492672035902576,4893.102011681527,4877.885228177144,-1.1608307957913233,-0.3723789923969106,-1.1603938263232805,-0.6822053431065747
176,2026,8.477924570635192,8.474818036154144,4806.461988075905,4791.550614982872,-1.7706563934040798,-2.1364418333644175,-1.7699189127198034,-2.4400497744351455
177,2027,8.465264874742722,8.462163382442093,4745.98460166557,4731.284673113437,-1.258251632081342,-3.367811651208985,-1.257754466393135,-3.6671144058081064
178,2028,8.454363624161171,8.451260882025647,4694.517570201814,4679.971168525212,-1.0844331742183466,-4.415723158636434,-1.0845575384593742,-4.711899978535355
179,2029,8.443852498534092,8.440749750810632,4645.420877918932,4631.026548651815,-1.0458304085284587,-5.415372591615442,-1.0458316538907497,-5.708453090950914
180,2030,8.433005940733464,8.429903191147359,4595.295540412886,4581.056487857806,-1.0790268271343662,-6.435966095696993,-1.0790277332475173,-6.725885032207647
181,2031,8.421533396249787,8.418430644801036,4542.865662482743,4528.789026160475,-1.1409468111257204,-7.50348195688873,-1.1409477668713919,-7.790093964001733
182,2032,8.409406251376437,8.406303499927686,4488.09432652775,4474.187368676282,-1.2056560775574265,-8.618671848204501,-1.2056569022930397,-8.901829060722669
183,2033,8.396729916822448,8.393627165373697,4431.548220871675,4417.816439626182,-1.2599134853705896,-9.76999752469972,-1.259914357739067,-10.0495879960243
